C31_03,1812021,1378648,710947,.760,.515,.392
C31_04,5089617,3900393,1709616,.766,.438,.335
C31_05,192944,145010,98994,.751,.682,.513
C31_06,1220266,936926,513319,.767,.547,.420
C31_07,1978859,1500238,779006,.758,.519,.393
C31_08,9818666,7750435,2620177,.789,.338,.266
C31_09,2060671,1588925,807914,.771,.508,.392
C31_10,307026,235619,145736,.767,.618,.474
C31_11,1919091,1488203,750481,.775,.504,.391
C31_12,2037358,1543232,798501,.757,.517,.391
C31_13,2118246,1610061,809130,.760,.502,.381
C31_14,20751,16243,12343,.782,.759,.594
C31_15,4047629,3049580,1424236,.753,.467,.351
C31_16,6527135,4969172,2101782,.761,.422,.322
C31_17,7383672,5827801,2184438,.789,.374,.295
C31_18,1072465,810173,452893,.755,.559,.422
C31_19,1346309,1032901,561629,.767,.543,.417
C31_20,2134440,1627098,833473,.762,.512,.390
C31_21,2901547,2198682,1064047,.757,.483,.366
C31_22,2091053,1590864,807923,.760,.507,.386
C31_23,3128695,2362451,1149955,.755,.486,.367
C31_24,208497,158323,105554,.759,.666,.506
C31_25,5485862,4207576,1821524,.766,.432,.332
C32_01,1892461,1441922,744604,.761,.516,.393
C32_02,3245783,2554247,1086086,.786,.425,.334
C32_03,8440684,6468560,2571768,.766,.397,.304
C32_04,3619392,2756671,1279925,.761,.464,.353
C32_05,34028,24305,18995,.714,.781,.558
C32_06,1950434,1496269,753907,.767,.503,.386
C32_07,599904,460132,273544,.767,.594,.455
C32_08,34742,30528,12119,.878,.396,.348
C32_09,2758319,2122915,1033035,.769,.486,.374
C32_10,1441856,1095372,586523,.759,.535,.406
C32_11,4680712,3609246,1593868,.771,.441,.340
C32_12,3289889,2547501,1183072,.774,.464,.359
C32_13,1405505,1074613,579370,.764,.539,.412
C32_14,1518700,1157609,619234,.762,.534,.407
C32_15,963569,740126,416547,.768,.562,.432
C32_16,17353,13269,10259,.764,.773,.591
C32_17,694949,535257,309104,.770,.577,.444
C32_18,1856244,1404846,728002,.756,.518,.392
C32_19,2478705,1882625,943490,.759,.501,.380
C32_20,2475362,1893142,945257,.764,.499,.381
C32_21,1700533,1312093,688638,.771,.524,.404
C32_22,1195670,911300,505869,.762,.555,.423
C32_23,658637,504287,298205,.765,.591,.452
C32_24,1762223,1331326,707929,.755,.531,.401
C32_25,2074853,1586260,812613,.764,.512,.391
C33_1,1626200,1216326,644691,.747,.530,.396
C33_10,2084457,1551200,789208,.744,.508,.378
C33_11,7335,5698,5215,.776,.915,.710
C33_12,1461023,1082322,579119,.740,.535,.396
C33_13,1808853,1333276,688992,.737,.516,.380
C33_14,1855226,1374200,707819,.740,.515,.381
C33_15,1609244,1199896,626432,.745,.522,.389
C33_16,1343965,993880,537948,.739,.541,.400
C33_17,4008,3031,2894,.756,.954,.722
C33_18,8854,6720,6364,.758,.947,.718
C33_19,1595234,1183774,621976,.742,.525,.389
C33_2,3262853,2393832,1135050,.733,.474,.347
C33_20,7307335,5623366,2096192,.769,.372,.286
C33_21,842920,622487,348461,.738,.559,.413
C33_22,1942301,1487984,707500,.766,.475,.364
C33_23,1876992,1437533,686494,.765,.477,.365
C33_24,1198509,886344,476358,.739,.537,.397
C33_25,1373025,1052669,533540,.766,.506,.388
C33_3,41119,29600,22537,.719,.761,.548
C33_4,1328906,985042,534809,.741,.542,.402
C33_5,2541658,1885860,928479,.741,.492,.365
C33_6,2329297,1722619,857345,.739,.497,.368
C33_7,3329943,2460701,1172075,.738,.476,.351
C33_8,1145241,857669,469789,.748,.547,.410
C33_9,1114563,830043,453390,.744,.546,.406
COR_01,4039910,2966205,1347147,.734,.454,.333
COR_02,1972390,1450499,729556,.735,.502,.369
COR_03,2733432,2062662,929403,.754,.450,.340
COR_04,2233308,1642707,813761,.735,.495,.364
COR_05,2092588,1536293,766911,.734,.499,.366
COR_06,1653017,1210059,609975,.732,.504,.369
COR_07,3487327,2627589,1132082,.753,.430,.324
COR_08,4618647,3479329,1431166,.753,.411,.309
COR_09,2499646,1838243,895359,.735,.487,.358
COR_10,893588,656915,369729,.735,.562,.413
COR_11,1720364,1258558,654526,.731,.520,.380
COR_12,1611362,1183088,615344,.734,.520,.381
COR_13,6361574,4823902,1856722,.758,.384,.291
COR_14,11474065,8719303,2966198,.759,.340,.258
COR_15,1724939,1262096,652465,.731,.516,.378
COR_16,1389127,1003329,530588,.722,.528,.381
COR_17,2365147,1747526,857283,.738,.490,.362
COR_18,2752314,1991508,956971,.723,.480,.347
COR_19,1342818,993738,530838,.740,.534,.395
COR_20,2412614,1826133,846924,.756,.463,.351
CS20_01,2379453,1825808,912323,.767,.499,.383
CS20_02,1183926,899390,499413,.759,.555,.421
CS20_03,1132429,862375,481099,.761,.557,.424
CS20_04,4667359,3548806,1598410,.760,.450,.342
CS20_05,1668129,1243612,665346,.745,.535,.398
CS20_06,904551,710334,380259,.785,.535,.420
CS20_07,2130052,1620975,832311,.761,.513,.390
CS20_08,1279137,976974,535207,.763,.547,.418
CS20_09,1588425,1216457,643172,.765,.528,.404
CS20_10,6065188,4650157,1927213,.766,.414,.317
CS20_11,2956781,2254001,1092909,.762,.484,.369
CS20_12,824529,629344,365178,.763,.580,.442
CS20_13,1702035,1289905,681853,.757,.528,.400
CS20_14,1218810,935881,510655,.767,.545,.418
CS20_15,228355,177503,113474,.777,.639,.496
CS20_16,716754,568067,306275,.792,.539,.427
