pop1,pop2,UnweightFst,WeightFst
GSJS_NS05,STPR_BT2,0.062690,0.082262
GSJS_NS05,STPR_FT1,0.052006,0.079508
GSJS_NS05,STRT,0.041519,0.047591
GSJS_NS05,STWA,0.040565,0.045288
GSJS_SS19,SPKR,0.057881,0.103932
GSJS_SS19,SPSH,0.050811,0.086781
GSJS_SS19,STCO,0.084051,0.140934
GSJS_SS19,STMR,0.066975,0.121939
GSJS_SS19,STPR_BT2,0.056404,0.088939
GSJS_SS19,STPR_FT1,0.051857,0.087052
GSJS_SS19,STRT,0.035400,0.054310
GSJS_SS19,STWA,0.033550,0.051797
GSTS,GSJS_BSN,0.182863,0.238919
GSTS,GSJS_BS,0.070740,0.225142
GSTS,GSJS_CS02,0.093504,0.237537
GSTS,GSJS_CS03,0.085789,0.234256
GSTS,GSJS_CS04,0.110658,0.226713
GSTS,GSJS_CS11,0.093919,0.212634
GSTS,GSJS_CS16,0.063480,0.187649
GSTS,GSJS_CS22A,0.066226,0.199098
GSTS,GSJS_D01,0.068144,0.212175
GSTS,GSJS_D09,0.078800,0.207352
GSTS,GSJS_NS03,0.084353,0.180466
GSTS,GSJS_NS05,0.086041,0.180024
GSTS,GSJS_SS19,0.079603,0.188770
GSTS,SPKR,0.071853,0.222727
GSTS,SPSH,0.067959,0.209203
GSTS,STCO,0.081993,0.257372
GSTS,STMR,0.076291,0.234131
GSTS,STPR_BT2,0.068951,0.207784
GSTS,STPR_FT1,0.081167,0.212805
GSTS,STRT,0.056430,0.178935
GSTS,STWA,0.050848,0.172218
RBFL,RBFR,0.015619,0.009804
RBFL,RBRL_P226,0.051837,0.092374
RBFL,RBRL_P246,0.044444,0.048411
RBFR,RBRL_P226,0.033752,0.093303
RBFR,RBRL_P246,0.032709,0.049283
RBRL_P226,RBRL_P246,0.042133,0.080890
SPKR,SPSH,0.019493,0.020290
SPKR,STCO,0.072894,0.188846
SPKR,STMR,0.064830,0.162053
SPKR,STPR_BT2,0.057236,0.133371
SPKR,STPR_FT1,0.061356,0.131854
SPKR,STRT,0.045428,0.101933
SPKR,STWA,0.042403,0.098293
SPSH,STCO,0.069974,0.174083
SPSH,STMR,0.060992,0.145584
SPSH,STPR_BT2,0.053318,0.117260
SPSH,STPR_FT1,0.055410,0.114709
SPSH,STRT,0.041988,0.085328
SPSH,STWA,0.039877,0.082511
STCO,STMR,0.074506,0.205558
STCO,STPR_BT2,0.067451,0.173803
STCO,STPR_FT1,0.085403,0.168964
STCO,STRT,0.054814,0.147352
STCO,STWA,0.047369,0.143429
STMR,STPR_BT2,0.060775,0.145845
STMR,STPR_FT1,0.068867,0.145913
STMR,STRT,0.049305,0.116945
STMR,STWA,0.045319,0.115180
STPR_BT2,STPR_FT1,0.042132,0.063679
STPR_BT2,STRT,0.041799,0.086366
STPR_BT2,STWA,0.038590,0.084892
STPR_FT1,STRT,0.040821,0.083313
STPR_FT1,STWA,0.038895,0.082899
STRT,STWA,0.030130,0.050288
