Index,SampleID,Species,Project,SampleSite,Site,SiteWaypoint,Valley,CollectionYear,CollectionDate,WaypointName,NameGroup,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes,RangeWidePhylo,RangeWidePopGen,JSWC
35,BSS_10,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C5,,,,Y
36,BSS_11,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D5,,,,Y
37,BSS_12,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E5,,,,Y
38,JR4_4,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F5,,,,Y
39,BSS_14,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G5,,,,Y
40,BSS_15,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H5,,,,Y
41,BSS_16,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A6,,,,Y
42,BSS_17,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B6,,,,Y
43,BSS_18,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C6,,,,Y
44,JR4_5,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D6,,,,Y
45,JR4_6,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E6,,,,Y
46,BSS_21,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F6,,,,Y
47,BSS_22,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G6,,,,Y
48,BSS_23,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H6,,,,Y
49,BSS_24,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A7,,,,Y
50,BSS_25,Relict dace,Johnson Springs Wetland Complex,Big Spring South,GSJS,GSJS_BSS,Goshute Valley,2019,,BSS,BS,11,709075.5212,4537940.161,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B7,,,,Y
51,C02_01,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C7,,,,Y
52,C02_02,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D7,,,,Y
53,C02_03,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E7,,,,Y
54,C02_04,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F7,,,,Y
55,C02_05,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G7,,,,Y
56,C02_06,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H7,,,,Y
57,C02_07,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A8,,,,Y
58,C02_08,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B8,,,,Y
59,C02_09,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C8,,,,Y
60,C02_10,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D8,,,,Y
61,C02_11,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E8,,,,Y
62,C02_12,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F8,,,,Y
63,C02_13,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G8,,,,Y
64,C02_14,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H8,,,,Y
65,C02_15,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A9,,,,Y
66,C02_16,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B9,,,,Y
67,JR4_7,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C9,,,,Y
68,C02_18,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D9,,,,Y
69,C02_19,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E9,,,,Y
70,C02_20,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F9,,,,Y
71,C02_21,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G9,,,,Y
72,C02_22,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H9,,,,Y
73,C02_23,Relict dace,Johnson Springs Wetland Complex,Channel 02,GSJS,GSJS_C02,Goshute Valley,2019,,C02,Cnorth,11,710019.5523,4539808.735,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A10,,,,Y
74,JR4_9,Relict dace,Johnson Springs Wetland Complex,Johnson Reservoir 4,GSJS,GSJS_JR4,Goshute Valley,2019,,JR4,JR,11,710205.36,4537886.16,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B10,,,,Y
75,C03_01,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C10,,,,Y
76,C03_02,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D10,,,,Y
77,C03_03,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E10,,,,Y
78,C03_04,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,F10,,,,Y
79,C03_05,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,G10,,,,Y
80,C03_06,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,H10,,,,Y
81,C03_07,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,A11,,,,Y
82,C03_08,Relict dace,Johnson Springs Wetland Complex,Channel 03,GSJS,GSJS_C03,Goshute Valley,2019,,C03,Cnorth,11,710085.6352,4539736.712,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,B11,,,,Y
83,C04_01,Relict dace,Johnson Springs Wetland Complex,Channel 04,GSJS,GSJS_C04,Goshute Valley,2019,,C04,Cnorth,11,710158.8126,4539675.149,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,C11,,,,Y
84,C04_02,Relict dace,Johnson Springs Wetland Complex,Channel 04,GSJS,GSJS_C04,Goshute Valley,2019,,C04,Cnorth,11,710158.8126,4539675.149,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,D11,,,,Y
85,C04_03,Relict dace,Johnson Springs Wetland Complex,Channel 04,GSJS,GSJS_C04,Goshute Valley,2019,,C04,Cnorth,11,710158.8126,4539675.149,,Sarah Epstein,SWCA,2022,Melanie LaCava,1,E11,,,,Y
