SampleID,Path,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
D09_08,/home/mlacava/align/RAD_alignments/D09_08_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,E11,NA
D09_09,/home/mlacava/align/RAD_alignments/D09_09_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,F11,NA
D09_10,/home/mlacava/align/RAD_alignments/D09_10_sorted_proper_rmdup.bam,Relict dace,Johnson Springs Wetland Complex,Ditch 09,Goshute Valley,2019,NA,D09,11,709700.2836,4538678.394,NA,Sarah Epstein,SWCA,2022,Melanie LaCava,5,G11,NA
NSR_01,/home/mlacava/align/RAD_alignments/NSR_01_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,14,E5,NA
NSR_02,/home/mlacava/align/RAD_alignments/NSR_02_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Sam Keely,Nevada Department of Wildlife,2022,Melanie LaCava,14,F5,NA
NSR_04,/home/mlacava/align/RAD_alignments/NSR_04_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,G5,NA
NSR_05,/home/mlacava/align/RAD_alignments/NSR_05_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,15,E10,NA
NSR_06,/home/mlacava/align/RAD_alignments/NSR_06_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,H5,NA
NSR_07,/home/mlacava/align/RAD_alignments/NSR_07_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,A6,NA
NSR_08,/home/mlacava/align/RAD_alignments/NSR_08_sorted_proper_rmdup.bam,Relict dace,NA,Spring north of Stratton Ranch,Butte Valley,2019,10/4/19,NSR,11,670476,4443283,reservoir outflow,Chalie Scott,Nevada Department of Wildlife,2022,Melanie LaCava,14,B6,NA
