SampleID,Species,Project,SampleSite,Valley,CollectionYear,CollectionDate,WaypointName,UTMzone,Easting,Northing,Habitat,Collector,Affiliation,LibPrepYear,PreppedBy,Library,Well,Notes
RD_STWA_001,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT1,11,689228,4339871,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,A1,
RD_STWA_002,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT1,11,689228,4339871,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,B1,
RD_STWA_003,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT2,11,689182,4340237,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,C1,
RD_STWA_004,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT3,11,689108,4340315,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,D1,
RD_STWA_005,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT3,11,689108,4340315,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,E1,
RD_STWA_006,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT3,11,689108,4340315,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,F1,
RD_STWA_007,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT4,11,689135,4340397,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,G1,
RD_STWA_008,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT4,11,689135,4340397,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,H1,
RD_STWA_009,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1FPT4,11,689135,4340397,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,A2,
RD_STWA_010,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,B2,
RD_STWA_011,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,C2,
RD_STWA_012,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,D2,
RD_STWA_013,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,E2,
RD_STWA_014,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,F2,
RD_STWA_015,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,G2,
RD_STWA_016,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,H2,
RD_STWA_017,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,A3,
RD_STWA_018,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,B3,
RD_STWA_019,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,C3,
RD_STWA_020,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT1,11,688863,4340583,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,D3,
RD_STWA_021,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,E3,
RD_STWA_022,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,F3,
RD_STWA_023,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,G3,
RD_STWA_024,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,H3,
RD_STWA_025,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,A4,
RD_STWA_026,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 1,B4,
RD_STWA_027,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,A1,
RD_STWA_028,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,B1,
RD_STWA_029,Relict Dace,,Steptoe Valley Wildlife Management Area,Steptoe Valley,2017,6/13/17,RD1CT2,11,689121,4340599,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,C1,
RD_STRT_001,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3A,11,689718,4359505,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,D1,
RD_STRT_002,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3A,11,689718,4359505,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,E1,
RD_STRT_003,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3A,11,689718,4359505,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,F1,
RD_STRT_004,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3BT1,11,689175,4366729.25,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,G1,
RD_STRT_005,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3BT1,11,689175,4366729.25,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,H1,
RD_STRT_006,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3BT1,11,689175,4366729.25,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,A2,
RD_STRT_007,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT2,11,691109,4364982,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,B2,
RD_STRT_008,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT2,11,691109,4364982,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,C2,
RD_STRT_009,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT2,11,691109,4364982,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,D2,
RD_STRT_010,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT2,11,691109,4364982,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,E2,
RD_STRT_011,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT2,11,691109,4364982,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,F2,
RD_STRT_012,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT2,11,691109,4364982,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,G2,
RD_STRT_013,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT4,11,690984,4365323,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,H2,
RD_STRT_014,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT4,11,690984,4365323,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,A3,
RD_STRT_015,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/14/17,RD3CT4,11,690984,4365323,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,B3,
RD_STRT_016,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3DT1,11,688570,4367048,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,C3,
RD_STRT_017,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3DT1,11,688570,4367048,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,D3,
RD_STRT_018,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3DT1,11,688570,4367048,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,E3,
RD_STRT_019,Relict Dace,,Rio Tinto/Kennecott Copper Corporation,Steptoe Valley,2017,6/15/17,RD3FT2,11,687139,4367791,,Heath Korell (NDOW),Nevada Deprtment of Wildlife,2017,Alyssa Benjamin,Plate 2,F3,
